"data","Somalia","jowhar","lughaye","zeylac","bossaso","dharkenley","daynile","gaalkacyo","hodan","belet_weyne","hawl_wadaag","kahda","marka","caynabo","laas_caanood","xudun","laasqoray","baki","borama","berbera","gebiley","hargeysa","owdweyne","xamar_weyne","garowe","cabdlcasiis","boondheere","karaan","shibis","shangaani","waaberi","wadajir","wardhiigleey","xamar_jabjab","yaaqshiid","afgooye","baidoa","diinsoor","baardheere","belet_xaawo","ceel_waaq","doolow","luuq","garbahaarey","afmadow","kismayo","burco","buuhoodle","sheikh","ceel_afweyn","ceerigaabo","qardho","burtinle","galdogob","hobyo","dhuusamarreeb","cabudwaaq","cadaado","wanla_weyn","xudur","ceel_barde","waajid"
"Cloth filter","12","17","11","0","10","11","12","6","3","7","0","10","0","0","6","0","0","0","0","0","0","12","11","14","11","0","0","0","0","0","17","0","9","0","0","1","16","83","75","25","0","50","0","25","61","25","7","6","12","0","0","0","0","0","0","0","0","0","0","0","0","67"
"Other kind of filter (membrane, ceramic, or commercial filter)","8","12","11","0","4","4","5","17","12","10","5","12","0","0","6","0","0","12","0","0","0","4","0","0","7","6","0","0","0","14","17","5","0","0","0","0","7","58","0","12","0","0","0","0","39","10","7","6","12","0","0","67","0","0","0","0","0","0","0","0","0","17"
"Chlorine tablets/aquatabs","57","22","16","20","50","85","61","48","65","52","86","45","0","38","44","0","7","62","70","0","50","40","39","57","15","28","25","100","50","86","75","47","36","67","50","27","73","50","75","75","0","50","85","50","72","80","80","19","38","50","22","83","0","0","0","0","38","20","33","100","25","50"
"Do not treat water","21","14","53","80","15","4","20","34","24","10","14","17","29","62","39","89","93","0","30","80","0","32","56","0","11","50","25","0","50","0","8","21","64","33","33","59","13","0","0","12","100","0","8","25","0","9","20","81","50","25","44","8","0","100","67","80","62","0","50","0","0","0"
"Do not know","6","28","0","0","2","4","6","0","1","1","10","10","0","0","0","11","13","0","0","10","0","28","0","0","0","11","0","0","0","0","0","11","9","0","17","47","2","0","0","0","67","0","0","0","0","4","0","0","0","0","11","8","0","20","0","0","12","0","33","0","0","0"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"What proportion of the people in this site treat water?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A few (1-25%)","45.29","73.33","0","100","57.5","38.46","37.65","44.83","80.36","51.81","22.22","52.24","80","33.33","54.55","100","100","37.5","14.29","50","25","37.5","37.5","28.57","58.33","75","66.67","0","0","28.57","63.64","46.67","0","50","0","67.74","46.2","91.67","75","85.71",NA,"100","16.67","33.33","22.22","27.61","0","0","25","16.67","40","54.55","25",NA,"100","50","33.33","40","0","88.89","25","0"
"Some (26-50%)","30.65","17.78","33.33","0","15","42.31","32.35","27.59","12.5","26.51","50","28.36","20","0","27.27","0","0","37.5","0","0","0","18.75","37.5","57.14","25","25","33.33","50","0","28.57","9.09","53.33","100","0","100","22.58","28.07","0","25","0",NA,"0","16.67","33.33","72.22","54.6","8.33","33.33","50","66.67","0","18.18","50",NA,"0","50","0","20","50","0","75","100"
"NC","17.26","8.89","11.11","0","27.5","19.23","21.47","10.34","7.14","15.66","22.22","13.81","0","33.33","9.09","0","0","25","14.29","50","50","25","0","14.29","16.67","0","0","50","0","28.57","18.18","0","0","0","0","6.45","20.66","8.33","0","14.29",NA,"0","25","33.33","5.56","14.11","41.67","33.33","0","0","40","27.27","25",NA,"0","0","33.33","40","50","11.11","0","0"
"Many (51-75%)","5.77","0","44.44","0","0","0","6.76","13.79","0","6.02","5.56","5.6","0","33.33","9.09","0","0","0","42.86","0","25","12.5","25","0","0","0","0","0","100","14.29","9.09","0","0","50","0","3.23","4.29","0","0","0",NA,"0","41.67","0","0","3.68","25","33.33","25","16.67","0","0","0",NA,"0","0","33.33","0","0","0","0","0"
"All or almost all (76-100%)","1.03","0","11.11","0","0","0","1.76","3.45","0","0","0","0","0","0","0","0","0","0","28.57","0","0","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.78","0","0","0",NA,"0","0","0","0","0","25","0","0","0","20","0","0",NA,"0","0","0","0","0","0","0","0"
"How long does it take for MOST residents of the site to walk to their nearest water source (Including travelling to, queuing, and returning)?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Less than 15 minutes","33.9","50","5.26","0","43.75","29.17","38.52","67.05","47.89","22.81","31.58","44.91","14.29","25","16.67","33.33","6.67","0","20","10","25","31.82","16.67","57.14","73.91","27.78","50","50","50","57.14","83.33","26.32","18.18","100","0","30.38","14.82","50","50","50","33.33","100","69.23","0","0","44.65","26.67","14.29","50","0","44.44","58.33","75","100","0","10","87.5","100","60","22.22","0","0"
"Between 15 and 30 minutes","28.14","29.41","21.05","60","27.08","50","27.41","12.5","23.94","35.09","52.63","15.57","57.14","25","11.11","22.22","33.33","25","0","30","75","9.09","61.11","28.57","0","50","50","50","25","14.29","16.67","47.37","54.55","0","100","30.38","34.41","16.67","0","12.5","66.67","0","0","66.67","50","30.82","6.67","28.57","12.5","37.5","22.22","16.67","25","0","33.33","40","0","0","40","66.67","50","100"
"NC","20.04","11.76","31.58","20","22.92","16.67","19.51","13.64","15.49","28.07","15.79","20.36","28.57","12.5","22.22","44.44","20","12.5","20","30","0","36.36","16.67","14.29","26.09","5.56","0","0","25","14.29","0","21.05","18.18","0","0","21.52","24.19","33.33","25","25","0","0","7.69","33.33","5.56","14.47","40","14.29","0","62.5","0","25","0","0","33.33","30","12.5","0","0","11.11","0","0"
"Between 30minutes and one hour","13.36","8.82","21.05","0","6.25","4.17","11.6","5.68","11.27","12.28","0","14.67","0","12.5","5.56","0","6.67","12.5","40","10","0","4.55","5.56","0","0","16.67","0","0","0","14.29","0","5.26","9.09","0","0","8.86","22.66","0","25","12.5","0","0","0","0","27.78","8.18","6.67","21.43","37.5","0","22.22","0","0","0","33.33","20","0","0","0","0","25","0"
"More than one hour","4.55","0","21.05","20","0","0","2.96","1.14","1.41","1.75","0","4.49","0","25","44.44","0","33.33","50","20","20","0","18.18","0","0","0","0","0","0","0","0","0","0","0","0","0","8.86","3.92","0","0","0","0","0","23.08","0","16.67","1.89","20","21.43","0","0","11.11","0","0","0","0","0","0","0","0","0","25","0"
"Do any households in the settlement have problems related to access to water? If yes, which ones?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No problem","11","17","11","0","0","4","9","6","15","26","37","15","14","0","17","0","0","12","10","10","25","4","0","0","9","28","75","50","75","14","25","0","18","0","0","16","4","0","50","0","0","0","62","0","0","19","0","0","12","0","0","50","50","20","33","0","0","0","0","0","0","0"
"Waterpoints are too far","58","23","42","40","71","83","62","33","38","32","37","61","14","75","56","67","73","75","50","80","25","88","50","86","74","28","0","0","0","43","8","58","45","50","67","59","72","83","25","50","100","50","23","67","61","44","93","64","62","88","56","8","25","0","0","40","50","20","80","78","100","67"
"Waterpoints are difficult to reach (especially for people with disabilities)","41","33","53","20","54","29","32","34","25","14","37","32","29","38","61","44","53","12","20","50","0","58","94","43","26","11","0","0","0","14","17","42","18","50","83","44","58","83","25","50","33","50","15","67","89","35","87","36","50","25","78","0","0","0","33","40","12","40","0","0","0","0"
"Fetching water is a dangerous activity","38","39","21","0","56","33","39","47","11","37","26","42","0","75","50","56","20","12","0","10","25","62","89","43","26","17","25","50","0","14","25","37","45","50","67","42","42","92","25","12","67","0","15","67","28","16","80","7","12","0","89","33","25","20","33","90","25","40","20","0","25","50"
"Some groups (children, women, elderly, ethnic minorities, etc.) do not have access to the waterpoints","25","12","16","0","17","12","20","41","10","4","42","13","0","12","0","0","60","0","0","10","0","4","72","29","9","17","25","0","0","14","0","42","36","0","83","27","41","50","25","0","33","50","15","67","39","15","73","50","25","12","0","0","0","0","0","30","12","60","0","0","0","33"
"Insufficient number of water points / waiting time at water points","41","35","26","20","54","42","51","75","32","21","42","19","0","62","22","22","67","0","30","80","25","0","78","14","13","39","25","0","25","14","8","68","36","0","50","28","48","67","0","88","67","100","15","67","56","42","87","7","12","38","89","8","0","80","0","100","62","100","20","89","0","17"
"Water points are not functioning or closed","13","6","0","0","33","25","15","17","7","4","16","8","14","12","0","22","0","0","10","10","0","21","11","14","13","17","25","0","0","0","17","37","9","0","17","18","15","0","0","12","100","50","0","100","22","10","13","21","12","25","44","8","0","20","0","20","12","20","0","0","25","17"
"Water is not available at the market","7","0","5","20","12","17","7","7","0","0","5","4","0","50","11","44","27","0","10","0","0","4","11","29","0","6","0","0","0","0","0","11","9","0","33","5","10","8","0","12","33","0","0","0","11","2","13","21","0","0","33","8","0","0","0","10","12","0","0","22","0","17"
"Water is too expensive","25","1","21","0","54","17","21","38","35","28","16","24","0","62","33","44","27","0","50","0","0","58","56","71","26","22","25","0","0","0","25","21","36","0","67","11","17","0","0","50","100","0","15","33","50","26","27","29","38","50","89","25","0","40","33","90","100","0","0","89","100","33"
"Not enough container to store the water","22","6","68","80","25","4","16","42","31","26","5","4","0","62","33","44","80","0","10","30","0","33","100","43","4","22","0","0","0","0","17","16","18","0","50","15","24","25","50","50","67","50","15","100","39","15","67","50","62","88","67","0","0","20","0","40","88","20","80","100","25","83"
"Poor quality of water","14","6","42","20","31","17","11","10","11","18","0","8","57","88","39","44","73","25","10","90","0","4","28","29","9","0","0","0","0","0","17","16","9","50","50","20","11","92","0","12","100","50","15","100","22","6","27","21","0","62","56","0","0","20","0","50","38","0","20","33","0","83"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Do not know","1","14","0","0","0","0","1","0","1","7","0","3","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","0","0","17","0","0","0","0","0","0","0","0","0","0"
"Male-only latrines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","0.71","2.06","5.95","0","1.85","0.48","0.23","0.03","0.15","0.87","0.71","0.41","0","0","0","0","0.87","0","0","0","1.25","0.56","0.06","0","0.3","0","0","1","0.5","0.43","1.92","0","0.27","0","0","0.13","1.28","2.67","0","3.75","0","0","0","0","0.72","0.12","0","0","0","0","0","11.17","0","0","0","0","0","0","1.5","0.33","0","2.17"
"Female-only latrines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","0.5","2","0.05","0","2.1","0","0.02","0.03","0.01","0.72","0.1","0.02","0","0","0","0","0.33","0","0","0","0","0.48","0.06","0","0.15","0","0","1","0.5","0.29","1.75","0.05","0.27","0","0","0.11","1.11","1.92","0","0","0.33","0","0","0","0.78","0.18","0","0","0","0","0.22","11.17","0","0","0","0","0","0","0.17","0.33","0","1.67"
"Non-Gendered Latrines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","14.26","4.51","6.37","13","19.08","6.52","4.15","36.22","10.3","1.89","5.76","4.21","21.71","60","33.39","4.89","9.87","3","101.9","55.9","2.25","252.16","17.83","14.14","15.78","19.22","12.75","1","15","4.71","15.33","12.16","9.91","4","25.5","12.8","5.17","1.08","82.75","54.75","0","1027.5","37.92","4.25","7.5","7.51","218.8","11.62","8.38","12.88","4.11","72.17","18","20.2","1.67","135.6","33.88","14.2","1.17","10","1.75","1"
"Bathing facilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","0.28","0.28","0","0","0.67","0","0.03","0.01","0.01","0.07","0","0","0.14","0","0","0","0.13","0","3.5","0","1.25","0.2","0","4.57","0.93","0","0","0","0","0","0.08","0","0.09","0","0","0.03","0.11","0.33","0","0","0","0","0","0","1.06","0.09","0","0","0","0","0","29","0","0","0","0","0","13","0.83","0","0","1"
"sanitation_toilets_total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","15.39","8.48","12.16","13","26.08","7.22","4.53","36.28","10.45","3.49","6.67","4.67","21.71","60","33.39","4.89","10.4","3","101.9","55.9","3.75","253.2","17.89","14.71","16.11","19.22","12.5","3","15.75","5.57","19.75","12.16","10.27","4","25.5","13.08","7.77","5.08","82.75","58.5","0.33","1243.5","37.92","3.75","9.11","7.82","156.13","11.56","8.38","12.88","4.44","94.42","18","20.2","1.67","131.8","34.25","14.2","2.33","10.67","1.75","5"
"Approximately what proportion of households in the settlement have access to functioning hand-washing facilities with water and soap?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0 to 25%","72.43","53.03","93.33","100","90.48","74.07","80.31","95.83","93.15","59.46","57.14","78.55","100","100","100","83.33","80","50","100","100","75","100","100","40","66.67","100","75","50","75","71.43","66.67","47.37","81.82","66.67","50","97.01","55.21","100","75","100","100","100","30.77","100","26.67","54.17","100","100","80","57.14","71.43","91.67","75","50","100","100","85.71","100","66.67","100","0","0"
"26 to 50%","14.26","21.21","0","0","2.38","11.11","9.97","0","4.11","21.62","23.81","14.52","0","0","0","0","0","0","0","0","25","0","0","20","9.52","0","0","50","0","28.57","0","31.58","0","33.33","50","0","18.96","0","0","0","0","0","7.69","0","60","32.74","0","0","20","14.29","14.29","0","0","0","0","0","14.29","0","33.33","0","75","100"
"NC","11.56","12.12","6.67","0","7.14","14.81","8.92","4.17","1.37","12.16","19.05","6.93","0","0","0","16.67","20","50","0","0","0","0","0","40","23.81","0","25","0","25","0","33.33","21.05","18.18","0","0","2.99","23.46","0","25","0","0","0","30.77","0","13.33","11.9","0","0","0","0","14.29","8.33","25","25","0","0","0","0","0","0","25","0"
"51 to 75%","1.56","13.64","0","0","0","0","0","0","1.37","6.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.37","0","0","0","0","0","23.08","0","0","1.19","0","0","0","28.57","0","0","0","25","0","0","0","0","0","0","0","0"
"76 to 100%","0.19","0","0","0","0","0","0.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"What percentage of toilets have locks on the inside?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0 to 25%","51.78","43.94","0","0","57.14","62.96","70.34","50","86.3","56.76","42.86","61.39","71.43","25","29.41","33.33","0","0","85.71","0","50","65","11.76","20","66.67","83.33","25","0","75","14.29","66.67","36.84","54.55","33.33","33.33","80.6","40.52","100","0","85.71","0","50","7.69","100","33.33","25.6","7.69","12.5","60","0","28.57","41.67","25","0","0","0","14.29","40","33.33","100","25","0"
"26 to 50%","20.8","34.85","46.67","33.33","16.67","33.33","13.65","11.11","5.48","25.68","38.1","17.82","0","0","23.53","0","0","50","0","0","25","0","64.71","60","9.52","16.67","0","100","0","42.86","0","26.32","9.09","33.33","66.67","7.46","24.88","0","75","0","0","50","7.69","0","20","41.67","7.69","0","20","28.57","0","0","50","0","66.67","0","28.57","0","16.67","0","75","66.67"
"NC","18.1","16.67","26.67","66.67","23.81","0","12.07","16.67","8.22","10.81","19.05","14.19","14.29","0","11.76","50","20","0","0","25","25","25","17.65","20","23.81","0","25","0","25","28.57","25","31.58","36.36","33.33","0","8.96","26.54","0","25","14.29","100","0","61.54","0","26.67","17.86","7.69","12.5","20","57.14","42.86","50","25","0","33.33","50","14.29","40","50","0","0","33.33"
"51 to 75%","5.4","3.03","20","0","2.38","3.7","2.36","8.33","0","6.76","0","5.28","14.29","25","23.53","16.67","10","50","0","0","0","10","5.88","0","0","0","25","0","0","14.29","0","5.26","0","0","0","2.99","4.74","0","0","0","0","0","15.38","0","20","10.71","15.38","37.5","0","14.29","0","8.33","0","0","0","0","42.86","20","0","0","0","0"
"76 to 100%","3.93","1.52","6.67","0","0","0","1.57","13.89","0","0","0","1.32","0","50","11.76","0","70","0","14.29","75","0","0","0","0","0","0","25","0","0","0","8.33","0","0","0","0","0","3.32","0","0","0","0","0","7.69","0","0","4.17","61.54","37.5","0","0","28.57","0","0","100","0","50","0","0","0","0","0","0"
"What percentage of toilets have internal lighting?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0 to 25%","82.38","59.09","100","100","76.19","77.78","86.35","100","90.41","82.43","57.14","80.86","100","100","100","100","30","50","100","100","50","100","100","40","85.71","100","75","50","75","71.43","83.33","57.89","81.82","100","50","94.03","80.57","100","100","100","100","100","92.31","100","46.67","75.6","92.31","100","80","85.71","71.43","75","100","100","100","100","100","80","50","100","50","33.33"
"NC","8.76","9.09","0","0","19.05","11.11","6.82","0","4.11","9.46","19.05","7.26","0","0","0","0","10","50","0","0","25","0","0","20","14.29","0","25","50","25","0","16.67","15.79","9.09","0","0","4.48","13.27","0","0","0","0","0","7.69","0","13.33","11.31","0","0","0","14.29","28.57","25","0","0","0","0","0","20","16.67","0","25","0"
"26 to 50%","7.82","27.27","0","0","4.76","11.11","6.04","0","4.11","8.11","23.81","11.55","0","0","0","0","40","0","0","0","25","0","0","40","0","0","0","0","0","28.57","0","26.32","9.09","0","50","1.49","4.98","0","0","0","0","0","0","0","20","11.31","0","0","20","0","0","0","0","0","0","0","0","0","33.33","0","25","66.67"
"51 to 75%","0.85","3.03","0","0","0","0","0.26","0","1.37","0","0","0.33","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.18","0","0","0","0","0","0","0","20","1.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76 to 100%","0.19","1.52","0","0","0","0","0.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"What percentage of toilets are accessible for persons with disabilities?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0 to 25%","80.15","62.12","46.67","66.67","85.71","77.78","83.99","98.61","94.52","83.78","52.38","81.52","100","100","82.35","100","80","50","85.71","75","100","95","88.24","40","85.71","100","50","50","25","85.71","83.33","78.95","54.55","66.67","50","95.52","75.59","100","75","100","100","100","61.54","100","40","77.98","46.15","75","80","100","71.43","75","100","100","33.33","80","71.43","60","50","100","75","16.67"
"NC","10.85","10.61","46.67","0","9.52","0","9.45","0","0","8.11","14.29","7.26","0","0","5.88","0","20","50","14.29","0","0","0","5.88","40","14.29","0","50","50","75","0","16.67","5.26","27.27","33.33","0","2.99","16.11","0","25","0","0","0","38.46","0","26.67","11.31","23.08","25","0","0","14.29","25","0","0","33.33","20","28.57","20","33.33","0","25","50"
"26 to 50%","8.53","25.76","6.67","0","4.76","22.22","6.3","1.39","5.48","8.11","33.33","10.89","0","0","11.76","0","0","0","0","0","0","5","5.88","20","0","0","0","0","0","14.29","0","15.79","9.09","0","50","1.49","8.06","0","0","0","0","0","0","0","33.33","9.52","23.08","0","20","0","14.29","0","0","0","33.33","0","0","20","16.67","0","0","33.33"
"51 to 75%","0.38","1.52","0","33.33","0","0","0.26","0","0","0","0","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.09","0","0","0","0.24","0","0","0","0","0","0","0","0","1.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76 to 100%","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"How frequently does desludging of latrines occur?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1 to 3 months","27.19","10.61","0","0","0","59.26","48.81","8.33","56.16","35.14","52.38","60.13","28.57","0","0","0","0","0","0","0","0","0","0","20","0","55.56","75","0","0","42.86","16.67","47.37","36.36","100","33.33","27.27","3.6","0","0","0","0","0","0","50","6.67","11.9","0","0","0","14.29","0","8.33","0","0","0","0","0","0","0","0","0","0"
"NC","20.88","16.67","20","0","42.86","29.63","19.63","18.06","9.59","17.57","9.52","11.3","0","25","23.53","20","0","100","42.86","0","0","20","35.29","40","38.1","5.56","25","0","25","42.86","25","26.32","27.27","0","16.67","27.27","29.98","0","0","0","0","0","16.67","25","6.67","14.29","23.08","25","0","42.86","71.43","75","0","25","33.33","10","14.29","40","33.33","0","25","50"
"3 to 6 months","16.2","33.33","0","0","0","7.41","14.59","27.78","19.18","18.92","19.05","12.62","71.43","0","17.65","0","0","0","0","0","0","0","0","20","0","16.67","0","100","50","14.29","50","15.79","18.18","0","16.67","37.88","8.63","0","0","0","100","100","0","25","80","33.33","7.69","0","0","0","28.57","0","0","25","0","0","14.29","0","50","0","0","0"
"Not at all","14.57","6.06","0","33.33","19.05","3.7","4.51","1.39","6.85","1.35","19.05","5.98","0","0","0","40","0","0","0","0","0","5","0","20","0","0","0","0","0","0","0","10.53","0","0","33.33","3.03","43.88","100","0","0","0","0","0","0","0","22.62","7.69","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0"
"1 to 2 years","11.18","10.61","6.67","0","21.43","0","3.98","25","1.37","22.97","0","1.66","0","75","35.29","40","16.67","0","28.57","50","100","25","5.88","0","47.62","11.11","0","0","25","0","8.33","0","9.09","0","0","4.55","9.35","0","100","100","0","0","50","0","6.67","16.07","46.15","25","20","42.86","0","0","25","50","66.67","20","57.14","0","16.67","100","0","0"
"More than 2 years","5.88","1.52","73.33","66.67","16.67","0","0","19.44","2.74","4.05","0","0","0","0","23.53","0","83.33","0","28.57","50","0","50","58.82","0","14.29","0","0","0","0","0","0","0","0","0","0","0","3.36","0","0","0","0","0","33.33","0","0","1.79","15.38","50","80","0","0","16.67","75","0","0","70","14.29","60","0","0","0","0"
"Weekly","3.87","21.21","0","0","0","0","8.49","0","4.11","0","0","8.31","0","0","0","0","0","0","0","0","0","0","0","0","0","11.11","0","0","0","0","0","0","9.09","0","0","0","0.72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.67"
"Daily","0.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","33.33"
"How is solid waste mainly disposed of by residents of this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Burning","37.66","29.85","52.63","60","45.83","51.85","29.72","65.52","16.22","50","28.57","16.52","14.29","12.5","27.78","22.22","26.67","0","0","50","25","68","44.44","57.14","44.44","16.67","50","50","75","28.57","41.67","68.42","18.18","100","66.67","68.35","49.24","75","25","75","0","0","7.69","0","0","23.08","73.33","81.25","37.5","12.5","66.67","0","100","0","100","100","87.5","0","33.33","62.5","0","66.67"
"NC","23.29","13.43","31.58","40","22.92","25.93","23.27","10.34","35.14","8.7","14.29","18.84","14.29","75","22.22","22.22","46.67","37.5","40","20","0","20","16.67","28.57","22.22","0","25","0","25","0","16.67","10.53","45.45","0","0","25.32","29.54","16.67","25","25","66.67","0","53.85","25","33.33","25.27","6.67","18.75","0","12.5","11.11","58.33","0","20","0","0","12.5","0","16.67","0","100","16.67"
"Burial if in designated areas far from houses and water sources","17.91","26.87","10.53","0","0","7.41","20.51","3.45","32.43","29.35","23.81","33.91","0","0","16.67","0","6.67","0","40","10","25","12","38.89","14.29","3.7","27.78","0","0","0","42.86","8.33","15.79","27.27","0","33.33","3.8","9.85","0","0","0","0","100","30.77","25","22.22","19.23","20","0","37.5","75","11.11","0","0","0","0","0","0","80","0","0","0","0"
"Burial - also in areas close to houses","9.79","11.94","0","0","0","7.41","18.2","1.15","5.41","1.09","4.76","23.19","0","0","0","0","0","0","0","0","0","0","0","0","0","55.56","25","0","0","0","8.33","0","0","0","0","0","1.36","0","0","0","0","0","0","0","16.67","23.08","0","0","0","0","0","0","0","80","0","0","0","20","0","0","0","0"
"In open","8.24","10.45","5.26","0","31.25","7.41","4.84","18.39","5.41","6.52","4.76","4.64","71.43","12.5","33.33","55.56","20","62.5","20","20","0","0","0","0","14.81","0","0","50","0","0","8.33","5.26","0","0","0","2.53","8.83","8.33","0","0","33.33","0","7.69","50","16.67","4.4","0","0","25","0","11.11","25","0","0","0","0","0","0","50","37.5","0","0"
"Household or communal covered pit","1.87","4.48","0","0","0","0","1.15","1.15","0","4.35","19.05","1.16","0","0","0","0","0","0","0","0","50","0","0","0","14.81","0","0","0","0","28.57","16.67","0","9.09","0","0","0","1.19","0","50","0","0","0","0","0","11.11","2.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Burial - also in areas close to water sources","0.96","2.99","0","0","0","0","2.3","0","5.41","0","0","1.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.67"
"Other","0.28","0","0","0","0","0","0","0","0","0","4.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2","0","0","0","0","0","16.67","0","0","0","0","0","0","0","0","0","0"
"How long does it take for MOST residents of the site to walk to their nearest FUNCTIONAL latrine? (TRAVEL ONE WAY)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Less than 15 minutes","67.44","56.06","73.33","100","59.52","66.67","60.32","80.56","56.16","70.27","61.9","77.89","71.43","100","88.24","100","90","100","100","100","75","100","81.25","60","90.48","61.11","100","100","75","85.71","91.67","36.84","36.36","66.67","16.67","88.06","53.32","100","75","85.71","100","50","100","75","0","82.74","76.92","75","100","85.71","100","50","75","100","0","100","57.14","80","66.67","77.78","0","16.67"
"NC","14.43","18.18","13.33","0","21.43","11.11","15.87","5.56","15.07","9.46","0","9.57","14.29","0","5.88","0","0","0","0","0","25","0","12.5","20","0","11.11","0","0","25","0","8.33","31.58","0","0","0","10.45","26.3","0","25","0","0","0","0","25","13.33","6.55","23.08","12.5","0","0","0","50","0","0","33.33","0","14.29","0","33.33","22.22","25","16.67"
"Between 15 and 30 minutes","14.38","18.18","13.33","0","14.29","22.22","19.58","13.89","9.59","17.57","38.1","11.22","14.29","0","5.88","0","10","0","0","0","0","0","0","20","9.52","22.22","0","0","0","14.29","0","31.58","63.64","33.33","83.33","1.49","13.27","0","0","14.29","0","50","0","0","73.33","10.12","0","12.5","0","14.29","0","0","25","0","66.67","0","28.57","20","0","0","50","66.67"
